epoch,train_loss,val_loss,val_mae,lr
1,14.56413,17.361341,0.315907,0.001
2,13.145468,14.893319,0.320932,0.001
3,13.872175,18.760274,0.342024,0.001
4,11.972662,12.497398,0.294452,0.001
5,12.746326,14.73271,0.29546,0.001
6,11.570132,14.739226,0.308925,0.001
7,9.395441,10.033017,0.291474,0.001
8,9.044278,9.085681,0.282913,0.001
9,9.573517,12.461363,0.306245,0.001
10,10.515399,12.178876,0.317566,0.001
11,8.186756,8.436328,0.275833,0.00095
12,7.805672,7.820499,0.297513,0.00095
13,8.54732,8.830223,0.304061,0.00095
14,7.629559,9.763842,0.269089,0.00095
15,7.036098,11.435419,0.280687,0.00095
16,6.839557,9.329919,0.264525,0.00095
17,6.325501,7.178021,0.290768,0.00095
18,6.925781,6.423408,0.30385,0.00095
19,6.08346,7.079275,0.296531,0.00095
20,5.213784,8.108879,0.25662,0.00095
21,4.628057,5.694516,0.27196,0.0009025
22,5.499568,6.859529,0.279854,0.0009025
23,5.677839,8.120279,0.280331,0.0009025
24,3.07091,4.437965,0.240923,0.0009025
25,4.876536,6.052868,0.276852,0.0009025
26,4.246017,5.268561,0.237483,0.0009025
27,3.720232,4.325206,0.252028,0.0009025
28,3.772149,4.718671,0.23948,0.0009025
29,4.269528,4.284758,0.252647,0.0009025
30,3.688856,3.952585,0.263915,0.0009025
31,3.430409,3.74247,0.237766,0.00085737
32,2.348833,2.510664,0.226513,0.00085737
33,2.031809,3.330377,0.246788,0.00085737
34,3.956919,5.191223,0.238674,0.00085737
35,3.098396,4.638504,0.215338,0.00085737
36,1.361843,2.474732,0.216957,0.00085737
37,2.676739,2.022696,0.251397,0.00085737
38,0.979883,1.6493,0.248891,0.00085737
39,2.183989,1.298053,0.218237,0.00085737
40,0.94334,1.724596,0.236814,0.00085737
41,0.538986,1.191072,0.226249,0.00081451
42,2.00359,4.027176,0.223248,0.00081451
43,2.737048,4.20657,0.229936,0.00081451
44,3.024512,4.466497,0.227596,0.00081451
45,1.55763,1.114086,0.192721,0.00081451
46,0.4,0.48,0.217868,0.00081451
47,1.415134,0.48,0.18839,0.00081451
48,1.325239,3.598356,0.202819,0.00081451
49,1.345676,2.73371,0.21457,0.00081451
50,1.586251,1.791638,0.175269,0.00081451
51,0.4,0.48,0.212069,0.00077378
52,1.178806,2.43231,0.183731,0.00077378
53,2.064342,3.400109,0.164929,0.00077378
54,1.343926,1.085119,0.15808,0.00077378
55,0.601027,0.942038,0.155509,0.00077378
56,1.42782,1.924682,0.162172,0.00077378
57,1.029545,0.521119,0.153014,0.00077378
58,1.523514,1.736825,0.147368,0.00077378
59,1.1047,1.886441,0.157925,0.00077378
60,1.305183,1.522967,0.170891,0.00077378
61,0.619132,2.131738,0.153724,0.00073509
62,0.484017,0.48,0.155084,0.00073509
63,0.971576,0.48,0.155533,0.00073509
64,1.648874,1.405813,0.171995,0.00073509
65,0.808025,0.48,0.165182,0.00073509
66,0.4,0.48,0.16555,0.00073509
67,1.091355,1.488713,0.149459,0.00073509
68,1.375913,1.709958,0.164926,0.00073509
69,0.5697,0.48,0.161241,0.00073509
70,0.4,0.48,0.147173,0.00073509
71,0.4,0.48,0.160583,0.00069834
72,0.4,0.48,0.132167,0.00069834
73,0.616653,0.48,0.119677,0.00069834
74,0.4,1.459828,0.138713,0.00069834
75,0.4,1.536874,0.124694,0.00069834
76,0.4,0.48,0.13826,0.00069834
77,0.4,1.587641,0.118272,0.00069834
78,0.4,0.652908,0.100674,0.00069834
79,0.4,1.496102,0.133392,0.00069834
80,1.186765,2.620328,0.115543,0.00069834
81,0.4,0.98644,0.115026,0.00066342
82,0.4,0.714536,0.093915,0.00066342
83,0.4,2.281004,0.092127,0.00066342
84,0.4,0.48,0.099026,0.00066342
85,0.4,0.48,0.089448,0.00066342
86,1.18362,1.496143,0.110244,0.00066342
87,2.560622,0.652758,0.113268,0.00066342
88,0.528895,0.764973,0.08554,0.00066342
89,0.4,0.48,0.110816,0.00066342
90,0.651893,0.48,0.105164,0.00066342
91,0.4,0.48,0.091401,0.00063025
92,0.4,0.597517,0.097754,0.00063025
93,0.645045,0.48,0.087005,0.00063025
94,0.4,1.365191,0.090532,0.00063025
95,0.4,0.757969,0.079135,0.00063025
96,0.4,2.199931,0.055646,0.00063025
97,0.4,1.934861,0.044099,0.00063025
98,1.681423,3.603438,0.079436,0.00063025
99,0.4,0.48,0.040925,0.00063025
100,0.739149,0.905393,0.036419,0.00063025
