epoch,train_loss,val_loss,map50,precision,recall,lr
1,2.504193,2.958468,0.201293,0.22,0.2083,0.01
2,2.313799,2.949398,0.247447,0.2705,0.2561,0.01
3,2.237621,2.610349,0.282175,0.3084,0.292,0.01
4,2.035472,2.454871,0.308915,0.3377,0.3197,0.01
5,1.975724,2.407202,0.346398,0.3786,0.3585,0.01
6,1.876561,2.069385,0.378369,0.4136,0.3916,0.01
7,1.631884,1.706782,0.402443,0.4399,0.4165,0.01
8,1.451936,1.339596,0.431278,0.4714,0.4463,0.01
9,1.404397,1.427461,0.454663,0.497,0.4705,0.01
10,1.10273,1.227846,0.479659,0.5243,0.4964,0.01
11,1.159964,1.236804,0.501968,0.5487,0.5195,0.01
12,1.056851,1.366674,0.520197,0.5686,0.5383,0.01
13,1.040066,1.232591,0.54731,0.5982,0.5664,0.01
14,0.852979,1.110713,0.560739,0.6129,0.5803,0.01
15,0.915547,1.058432,0.581262,0.6353,0.6015,0.01
16,0.745945,0.985336,0.597003,0.6525,0.6178,0.0095
17,0.732799,0.855028,0.611326,0.6682,0.6327,0.0095
18,0.61461,0.603425,0.629816,0.6884,0.6518,0.0095
19,0.625684,0.621932,0.645182,0.7052,0.6677,0.0095
20,0.584556,0.783191,0.650856,0.7114,0.6736,0.0095
21,0.597694,0.741644,0.669724,0.732,0.6931,0.0095
22,0.585224,0.635275,0.678468,0.7416,0.7021,0.0095
23,0.499856,0.704979,0.686309,0.7502,0.7102,0.0095
24,0.348585,0.494678,0.699477,0.7645,0.7239,0.0095
25,0.369792,0.685317,0.710419,0.7765,0.7352,0.0095
26,0.382923,0.508989,0.719335,0.7863,0.7444,0.0095
27,0.437562,0.470242,0.722379,0.7896,0.7476,0.0095
28,0.236522,0.291516,0.736383,0.8049,0.7621,0.0095
29,0.287875,0.381539,0.743491,0.8127,0.7694,0.0095
30,0.189955,0.287751,0.747522,0.8171,0.7736,0.0095
31,0.223768,0.390007,0.752149,0.8221,0.7784,0.009025
32,0.33952,0.495363,0.766975,0.8383,0.7937,0.009025
33,0.260418,0.520114,0.770861,0.8426,0.7978,0.009025
34,0.15,0.18,0.777336,0.8496,0.8045,0.009025
35,0.244277,0.366115,0.776066,0.8483,0.8031,0.009025
36,0.15,0.18,0.78752,0.8608,0.815,0.009025
37,0.288097,0.438889,0.788651,0.862,0.8162,0.009025
38,0.234487,0.20966,0.797113,0.8713,0.8249,0.009025
39,0.281051,0.501509,0.795729,0.8698,0.8235,0.009025
40,0.15,0.18,0.797257,0.8714,0.8251,0.009025
41,0.15,0.268966,0.80456,0.8794,0.8326,0.009025
42,0.177164,0.18,0.806911,0.882,0.8351,0.009025
43,0.15,0.384827,0.813227,0.8889,0.8416,0.009025
44,0.15,0.320724,0.811416,0.8869,0.8397,0.009025
45,0.15,0.18,0.815452,0.8913,0.8439,0.009025
46,0.15,0.245239,0.817611,0.8937,0.8461,0.00857375
47,0.188278,0.18,0.82631,0.9032,0.8551,0.00857375
48,0.15,0.18,0.828048,0.9051,0.8569,0.00857375
49,0.15,0.258115,0.824152,0.9008,0.8529,0.00857375
50,0.15,0.227645,0.831618,0.909,0.8606,0.00857375
51,0.15,0.18,0.833635,0.9112,0.8627,0.00857375
52,0.15,0.18,0.833606,0.9112,0.8627,0.00857375
53,0.203998,0.18,0.835553,0.9133,0.8647,0.00857375
54,0.155962,0.18,0.84145,0.9197,0.8708,0.00857375
55,0.15,0.216129,0.840978,0.9192,0.8703,0.00857375
56,0.15,0.333547,0.844258,0.9228,0.8737,0.00857375
57,0.15,0.317836,0.844261,0.9228,0.8737,0.00857375
58,0.15,0.18,0.842367,0.9207,0.8718,0.00857375
59,0.277698,0.357834,0.842235,0.9206,0.8716,0.00857375
60,0.15,0.18,0.8465,0.9252,0.876,0.00857375
61,0.15,0.255881,0.850179,0.9293,0.8798,0.00814506
62,0.15,0.18,0.844173,0.9227,0.8736,0.00814506
63,0.15,0.18,0.85238,0.9317,0.8821,0.00814506
64,0.15,0.250322,0.849495,0.9285,0.8791,0.00814506
65,0.15,0.2961,0.855241,0.9348,0.8851,0.00814506
66,0.15,0.18,0.849349,0.9284,0.879,0.00814506
67,0.15,0.18,0.856298,0.936,0.8862,0.00814506
68,0.163056,0.195986,0.851881,0.9311,0.8816,0.00814506
69,0.15,0.236519,0.849688,0.9287,0.8793,0.00814506
70,0.15,0.18,0.857211,0.937,0.8871,0.00814506
71,0.15,0.189558,0.859454,0.9394,0.8894,0.00814506
72,0.15,0.18,0.85876,0.9386,0.8887,0.00814506
73,0.15,0.302849,0.851383,0.9306,0.8811,0.00814506
74,0.15,0.217505,0.860707,0.9408,0.8907,0.00814506
75,0.15,0.390959,0.855284,0.9348,0.8851,0.00814506
